motusTagID,date,n_hits,first_time,last_time,n_hours,mean_snr,max_snr,mean_sig,duration_hours,center_hour,behavior
80830,2023-11-15,3,2023-11-15 19:58:12.698,2023-11-15 19:59:16.090,1,0.12455861684337632,0.1312026640924138,-67.5852,0.01760888888888889,19.008804444444444,fly_by
80830,2023-11-16,29,2023-11-16 04:39:36.606,2023-11-16 05:18:42.107,2,0.15157101095288356,0.21289696006119635,-68.05804827586206,0.6515280555555556,4.325764027777778,fly_by
80830,2023-11-18,125,2023-11-18 04:30:44.212,2023-11-18 23:39:11.195,6,0.1570709549182784,0.25371920431054934,-67.2913448,19.140828611111107,13.570414305555554,linger
80830,2023-11-22,19,2023-11-22 04:15:37.530,2023-11-22 22:48:40.914,3,0.1384295443138831,0.16460745333937618,-67.47859473684211,18.55094,13.27547,intermediate
80830,2023-11-23,105,2023-11-23 05:22:46.099,2023-11-23 23:51:35.930,4,0.13004297321409022,0.22689894901256188,-70.50758476190477,18.480508611111112,14.240254305555556,linger
80830,2023-11-24,672,2023-11-24 00:24:52.775,2023-11-24 23:15:12.167,16,0.13668562020405353,0.2820745072354893,-68.71586086309523,22.838720000000002,11.419360000000001,linger
80830,2023-11-25,2,2023-11-25 00:06:58.371,2023-11-25 00:07:30.068,1,0.11793528872312427,0.13017192978610165,-72.2042,0.008804722222222222,0.004402361111111111,fly_by
80830,2023-11-26,2,2023-11-26 23:12:03.149,2023-11-26 23:12:34.845,1,0.09562608210224105,0.10381962684923135,-75.45275000000001,0.008804444444444445,23.00440222222222,fly_by
80830,2023-11-27,8,2023-11-27 02:15:53.352,2023-11-27 23:51:11.933,2,0.11849802563689266,0.14964878566405787,-69.031725,21.588494722222222,12.794247361111111,intermediate
80830,2023-11-28,68,2023-11-28 02:14:21.545,2023-11-28 17:50:58.551,6,0.13929895951380528,0.2014061371305304,-67.61103676470589,15.610279444444444,9.805139722222222,intermediate
80830,2023-12-04,14,2023-12-04 05:18:31.588,2023-12-04 05:47:34.869,1,0.11687126142395975,0.14415695610917456,-69.68146428571428,0.4842447222222222,5.242122361111111,fly_by
80830,2023-12-17,235,2023-12-17 08:27:01.414,2023-12-17 18:56:11.352,7,0.11966043211256142,0.26580860591559924,-71.00789574468085,10.48609388888889,13.243046944444444,linger
80830,2023-12-21,7,2023-12-21 02:30:08.105,2023-12-21 03:01:18.168,2,0.1226530368823455,0.13984293104196618,-66.45442857142856,0.5194619444444445,2.259730972222222,fly_by
80830,2023-12-25,24,2023-12-25 20:28:53.350,2023-12-25 20:52:39.671,1,0.16115863877878311,0.24151928058987637,-67.79002083333334,0.3962002777777778,20.19810013888889,fly_by
80830,2023-12-29,18,2023-12-29 21:42:00.784,2023-12-29 22:13:10.848,2,0.12137033519266402,0.166849630717215,-71.59677777777777,0.5194622222222223,21.259731111111112,fly_by
80831,2023-10-12,230,2023-10-12 00:44:23.470,2023-10-12 01:19:15.407,2,0.28463923131374497,0.5753222601021518,-56.62606608695652,0.5810936111111111,0.29054680555555557,intermediate
80832.0,2023-10-12,2002,2023-10-12 00:44:25.994,2023-10-12 23:01:30.963,18,0.31090118996541377,0.5940651363874424,-54.02688021978022,22.284713611111112,11.142356805555556,linger
80833.0,2023-10-13,786,2023-10-13 21:44:17.568,2023-10-13 23:59:31.712,3,0.2974798372885716,0.5565236328218776,-54.70391539440203,2.253928888888889,22.126964444444443,linger
80833.0,2023-10-14,77,2023-10-14 00:00:03.407,2023-10-14 00:58:41.649,1,0.1979640738885305,0.3925332022915076,-64.88013376623377,0.9772894444444445,0.48864472222222227,intermediate
80834.0,2023-10-14,2876,2023-10-14 00:44:27.816,2023-10-14 23:59:33.693,24,0.25645121170583135,0.5588219222993278,-58.14934704450626,23.2516325,11.62581625,linger
80834.0,2023-10-15,206,2023-10-15 00:00:05.388,2023-10-15 05:36:03.346,4,0.1714934941200768,0.34007166333309874,-66.76295388349514,5.5994327777777775,2.7997163888888887,linger
80835,2023-10-14,3598,2023-10-14 01:44:12.330,2023-10-14 23:20:53.878,23,0.2588801268469351,0.5366043821407449,-59.13038513062813,21.61154111111111,11.805770555555554,linger
80837.0,2023-10-17,482,2023-10-17 22:29:28.222,2023-10-17 23:59:48.333,2,0.293362475662092,0.5386669948279926,-55.35407925311203,1.505586388888889,22.752793194444443,intermediate
80837.0,2023-10-18,38,2023-10-18 00:00:20.030,2023-10-18 00:35:12.003,1,0.20454069109704925,0.34699167519749674,-62.771157894736845,0.5811036111111111,0.29055180555555554,fly_by
80838,2023-10-17,518,2023-10-17 22:28:58.139,2023-10-17 23:59:49.679,2,0.29868666219584383,0.5424312339180829,-54.548383783783784,1.5143166666666668,22.757158333333333,intermediate
80838,2023-10-18,248,2023-10-18 00:00:21.374,2023-10-18 01:58:41.057,2,0.21258141653526835,0.4297342345434224,-63.35557943548387,1.9721341666666667,0.9860670833333334,intermediate
80839,2023-10-17,222,2023-10-17 22:59:06.607,2023-10-17 23:29:44.986,2,0.38384530087615776,0.5955648540012153,-45.22868873873873,0.5106608333333333,22.255330416666666,intermediate
80840,2023-10-18,930,2023-10-18 01:29:18.463,2023-10-18 20:11:19.506,7,0.25908952818589814,0.5882285757794952,-58.270183225806456,18.700289722222223,10.350144861111112,linger
